MONTH,PROFIT LOSS PERCENTAGE,PROFIT LOSS AMOUNT
201501,-0.02091365599999972,-209.1365599999972
201502,-0.0046846756959771935,-45.867019999999684
201503,0.016795697293853128,163.67401000000245
201504,-0.04341130861489348,-430.1483499999995
201505,0.05151308989723877,488.26796000000286
201506,-0.011266460871488224,-112.2904499999986
201507,-0.001712620701423145,-16.877019999999902
201508,0.028505294648643723,280.424329999998
201509,0.03026492098984048,306.2218900000007
201510,0.021823554685987696,227.4946
201511,-0.011993042402718656,-127.7470499999963
201512,-0.004597985069262978,-48.38926999999967
201601,-0.007601253793010351,-79.6278999999995
201602,-0.031784056019696534,-330.4270199999992
201603,0.014086031860593078,141.7839699999986
201604,-0.01531086680651623,-156.2834699999985
201605,-0.006133481683668595,-61.64806999999746
201606,0.032137324570500954,321.03338000000076
201607,-0.022486478379472496,-231.8458900000005
201608,0.016371362331837502,165.00061000000096
201609,0.012830547591536005,131.4311600000019
201610,-0.0005671561576746513,-5.88427000000047
201611,-0.0007002824048544451,-7.261339999999109
201612,-0.02110160948762739,-218.65272999999797
201701,0.04394576173868586,445.75264999999854
201702,-0.01218786028402491,-129.05722999999853
201703,-0.01466231704107931,-153.36696999999913
201704,0.0021314376733307973,21.967819999999847
201705,0.012394682894330778,128.01900000000023
201706,-0.003964195390029521,-41.45184999999765
201707,-0.024808646936359223,-258.3847600000063
201708,0.017847716167571873,181.2743300000002
201709,-0.00379545518776752,-39.237410000003365
201710,0.023119205130642674,238.0991699999995
201711,0.009899167069241564,104.3061400000006
201712,0.006943957766644872,73.89181000000099
